ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
1,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-1,52455,38766,7205
2,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201704,"July, 2017",GSTR-3,52455,26501,22932
3,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-1,23864,17338,2199
4,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017",GSTR-3,58371,20534,35115
5,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-1,62528,44930,10753
6,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",GSTR-3,62528,28171,31411
7,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-1,25413,18405,2723
8,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",GSTR-3,62319,33108,25952
9,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-1,26079,18699,3013
10,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201708,"November, 2017",GSTR-3,64586,36389,24290
11,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-1,66074,45665,13095
12,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017",GSTR-3,66074,42030,19778
13,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-1,27196,18497,3718
14,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201710,"January, 2018",GSTR-3,68002,42155,21168
15,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-1,27817,18381,4114
16,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018",GSTR-3,69822,42923,21846
17,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-1,71741,44615,17630
18,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",201712,"March, 2018",GSTR-3,71741,41278,25080
19,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-1,37744,18332,5805
20,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018",GSTR-3,72923,25835,41984
21,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-1,39310,18212,6301
22,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201802,"May, 2018",GSTR-3,75470,44513,24949
23,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-1,77492,43970,22121
24,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201803,"June, 2018",GSTR-3,77492,45901,24642
25,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-1,40446,17243,7839
26,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201804,"July, 2018",GSTR-3,78995,49998,21774
27,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-1,39808,15775,9497
28,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018",GSTR-3,80214,47009,25830
